window_idx,start_time,end_time,duration
0,0.0,4.0,4.0
1,2.8,6.8,4.0
2,5.6,9.6,4.0
3,8.4,12.4,4.0
4,11.2,15.2,4.0
5,14.0,18.0,4.0
6,16.8,20.8,4.0
7,19.6,23.6,4.0
8,22.4,26.4,4.0
9,25.2,29.2,4.0
10,28.0,32.0,4.0
11,30.8,34.8,3.9999999999999964
12,33.6,37.6,4.0
13,36.4,40.4,4.0
14,39.2,43.2,4.0
15,42.0,46.0,4.0
16,44.8,48.8,4.0
17,47.6,51.6,4.0
18,50.4,54.4,4.0
19,53.2,57.2,4.0
20,56.0,60.0,4.0
21,58.8,62.8,4.0
22,61.6,65.6,3.999999999999993
23,64.4,68.4,4.0
24,67.2,71.2,4.0
25,70.0,74.0,4.0
26,72.8,76.8,4.0
27,75.6,79.6,4.0
28,78.4,82.4,4.0
29,81.2,85.2,4.0
30,84.0,88.0,4.0
31,86.8,90.8,4.0
32,89.6,93.6,4.0
33,92.4,96.4,4.0
34,95.2,99.2,4.0
35,98.0,102.0,4.0
36,100.8,104.8,4.0
37,103.6,107.6,4.0
38,106.4,110.4,4.0
39,109.2,113.2,4.0
40,112.0,116.0,4.0
41,114.8,118.8,4.0
42,117.6,121.6,4.0
43,120.4,124.4,4.0
44,123.2,127.2,4.0
45,126.0,130.0,4.0
46,128.8,132.8,4.0
47,131.6,135.6,4.0
48,134.4,138.4,4.0
49,137.2,141.2,4.0
50,140.0,144.0,4.0
51,142.8,146.8,4.0
52,145.6,149.6,4.0
53,148.4,152.4,4.0
54,151.2,155.2,4.0
55,154.0,158.0,4.0
56,156.8,160.8,4.0
57,159.6,163.6,4.0
58,162.4,166.4,4.0
59,165.2,169.2,4.0
60,168.0,172.0,4.0
61,170.8,174.8,4.0
62,173.6,177.6,4.0
63,176.4,180.4,4.0
64,179.2,183.2,4.0
65,182.0,186.0,4.0
66,184.8,188.8,4.0
67,187.6,191.6,4.0
68,190.4,194.4,4.0
69,193.2,197.2,4.0
70,196.0,200.0,4.0
71,198.8,202.8,4.0
72,201.6,205.6,4.0
73,204.4,208.4,4.0
74,207.2,211.2,4.0
75,210.0,214.0,4.0
76,212.8,216.8,4.0
77,215.6,219.6,4.0
78,218.4,222.4,4.0
79,221.2,225.2,4.0
80,224.0,228.0,4.0
81,226.8,230.8,4.0
82,229.6,233.6,4.0
83,232.4,236.4,4.0
84,235.2,239.2,4.0
85,238.0,242.0,4.0
86,240.8,244.8,4.0
87,243.6,247.6,4.0
88,246.4,250.4,4.0
89,249.2,253.2,4.0
90,252.0,256.0,4.0
91,254.8,258.8,4.0
92,257.6,261.6,4.0
93,260.4,264.4,4.0
94,263.2,267.2,4.0
95,266.0,270.0,4.0
96,268.8,272.8,4.0
97,271.6,275.6,4.0
98,274.4,278.4,4.0
99,277.2,281.2,4.0
100,280.0,284.0,4.0
101,282.8,286.8,4.0
102,285.6,289.6,4.0
103,288.4,292.4,4.0
104,291.2,295.2,4.0
105,294.0,298.0,4.0
106,296.8,300.8,4.0
107,299.6,303.6,4.0
108,302.4,306.4,4.0
109,305.2,309.2,4.0
110,308.0,312.0,4.0
111,310.8,314.8,4.0
112,313.6,317.6,4.0
